Task:        font_detection
Classes:     ['Arial', 'Georgia', 'Lato', 'Merriweather', 'Montserrat', 'Nunito', 'Open Sans', 'Oswald', 'PT Sans', 'Playfair Display', 'Raleway', 'Roboto', 'Source Sans Pro', 'Times New Roman', 'Ubuntu']
Num classes: 15
Metric:      f1_macro
Time budget: 1200s

Device: cuda
Model params: 8.54M
Estimated total steps: 120000
Batch size:            64
Images per epoch:      29,952


step 00000 | loss: 2.7340 | lr: 2.00e-06 | imgs/s: 9 | remaining: 1193s    
step 00001 | loss: 2.7616 | lr: 4.00e-06 | imgs/s: 320 | remaining: 1193s    
step 00002 | loss: 2.7665 | lr: 6.00e-06 | imgs/s: 3,397 | remaining: 1193s    
step 00003 | loss: 2.7519 | lr: 8.00e-06 | imgs/s: 3,444 | remaining: 1193s    
step 00004 | loss: 2.7487 | lr: 1.00e-05 | imgs/s: 3,335 | remaining: 1193s    
step 00005 | loss: 2.7502 | lr: 1.20e-05 | imgs/s: 3,439 | remaining: 1193s    
step 00006 | loss: 2.7452 | lr: 1.40e-05 | imgs/s: 3,407 | remaining: 1193s    
step 00007 | loss: 2.7406 | lr: 1.60e-05 | imgs/s: 3,408 | remaining: 1193s    
step 00008 | loss: 2.7360 | lr: 1.80e-05 | imgs/s: 3,433 | remaining: 1193s    
step 00009 | loss: 2.7334 | lr: 2.00e-05 | imgs/s: 3,415 | remaining: 1193s    
step 00010 | loss: 2.7310 | lr: 2.20e-05 | imgs/s: 3,438 | remaining: 1193s    
step 00011 | loss: 2.7289 | lr: 2.40e-05 | imgs/s: 3,483 | remaining: 1193s    
step 00012 | loss: 2.7291 | lr: 2.60e-05 | imgs/s: 3,000 | remaining: 1193s    
step 00013 | loss: 2.7275 | lr: 2.80e-05 | imgs/s: 3,538 | remaining: 1193s    
step 00014 | loss: 2.7291 | lr: 3.00e-05 | imgs/s: 835 | remaining: 1193s    
step 00015 | loss: 2.7292 | lr: 3.20e-05 | imgs/s: 3,282 | remaining: 1193s    
step 00016 | loss: 2.7275 | lr: 3.40e-05 | imgs/s: 3,188 | remaining: 1193s    
step 00017 | loss: 2.7290 | lr: 3.60e-05 | imgs/s: 3,510 | remaining: 1193s    
step 00018 | loss: 2.7281 | lr: 3.80e-05 | imgs/s: 921 | remaining: 1193s    
step 00019 | loss: 2.7310 | lr: 4.00e-05 | imgs/s: 1,796 | remaining: 1193s    
step 00020 | loss: 2.7314 | lr: 4.20e-05 | imgs/s: 3,357 | remaining: 1193s    
step 00021 | loss: 2.7340 | lr: 4.40e-05 | imgs/s: 3,489 | remaining: 1193s    
step 00022 | loss: 2.7345 | lr: 4.60e-05 | imgs/s: 1,284 | remaining: 1193s    
step 00023 | loss: 2.7392 | lr: 4.80e-05 | imgs/s: 1,695 | remaining: 1193s    
step 00024 | loss: 2.7399 | lr: 5.00e-05 | imgs/s: 3,331 | remaining: 1193s    
step 00025 | loss: 2.7373 | lr: 5.20e-05 | imgs/s: 3,531 | remaining: 1193s    
step 00026 | loss: 2.7357 | lr: 5.40e-05 | imgs/s: 1,100 | remaining: 1192s    
step 00027 | loss: 2.7392 | lr: 5.60e-05 | imgs/s: 1,703 | remaining: 1192s    
step 00028 | loss: 2.7374 | lr: 5.80e-05 | imgs/s: 3,523 | remaining: 1192s    
step 00029 | loss: 2.7357 | lr: 6.00e-05 | imgs/s: 3,514 | remaining: 1192s    
